,DATE,Maximum Wind Speed,Moving Avg Wind Speed,Wind Linear Model
45985,2004-11-26,9.1,2.1399999999999983,2.5361489541869346
45986,2004-11-27,10.5,2.2399999999999984,2.536211433168944
45987,2004-11-28,4.8,2.659999999999999,2.5362739121509534
45988,2004-11-29,10.1,2.4399999999999986,2.5363363911329557
45989,2004-11-30,12.0,2.1199999999999983,2.536398870114965
45990,2004-12-01,5.8,2.1199999999999983,2.5364613490969745
45991,2004-12-02,5.2,2.1199999999999988,2.536523828078977
45992,2004-12-03,7.4,1.7599999999999987,2.536586307060986
45993,2004-12-04,7.3,1.8199999999999985,2.5366487860429956
45994,2004-12-05,5.6,1.9599999999999986,2.536711265024998
45995,2004-12-06,5.9,2.1999999999999984,2.5367737440070073
45996,2004-12-07,6.1,2.2999999999999985,2.5368362229890167
45997,2004-12-08,7.8,2.2399999999999984,2.536898701971019
45998,2004-12-09,8.0,2.159999999999999,2.5369611809530284
45999,2004-12-10,4.6,2.0399999999999987,2.5370236599350378
46000,2004-12-11,3.6,1.7199999999999984,2.53708613891704
46001,2004-12-12,5.2,1.3599999999999985,2.5371486178990494
46002,2004-12-13,3.3,1.2399999999999987,2.537211096881059
46003,2004-12-14,2.6,1.2199999999999986,2.537273575863061
46004,2004-12-15,2.8,1.8199999999999985,2.5373360548450705
46005,2004-12-16,3.9,2.9799999999999986,2.53739853382708
46006,2004-12-17,21.9,3.139999999999999,2.537461012809082
46007,2004-12-18,23.0,3.219999999999999,2.5375234917910916
46008,2004-12-19,9.5,3.1999999999999984,2.537585970773101
46009,2004-12-20,6.2,2.8999999999999986,2.5376484497551033
46010,2004-12-21,3.3,2.9999999999999987,2.5377109287371127
46011,2004-12-22,10.2,4.179999999999998,2.537773407719115
46012,2004-12-23,17.5,4.399999999999999,2.5378358867011244
46013,2004-12-24,21.3,4.619999999999999,2.5378983656831338
46014,2004-12-25,9.9,4.559999999999998,2.537960844665136
46015,2004-12-26,6.0,3.4999999999999987,2.5380233236471454
46016,2004-12-27,6.5,2.6199999999999988,2.538085802629155
46017,2004-12-28,9.8,2.479999999999998,2.538148281611157
46018,2004-12-29,9.6,2.6199999999999983,2.5382107605931665
46019,2004-12-30,5.4,2.8399999999999985,2.538273239575176
46020,2004-12-31,8.1,3.6199999999999988,2.538335718557178
46021,2005-01-01,12.4,4.259999999999998,2.5383981975391876
46022,2005-01-02,18.2,4.879999999999998,2.538460676521197
46023,2005-01-03,15.5,5.039999999999998,2.5385231555031993
46024,2005-01-04,14.3,5.359999999999998,2.5385856344852087
46025,2005-01-05,13.4,4.639999999999999,2.538648113467218
46026,2005-01-06,17.8,4.139999999999999,2.5387105924492204
46027,2005-01-07,6.9,3.879999999999998,2.5387730714312298
46028,2005-01-08,13.9,3.5399999999999983,2.538835550413239
46029,2005-01-09,10.9,2.9199999999999986,2.5388980293952415
46030,2005-01-10,5.9,2.9399999999999986,2.538960508377251
46031,2005-01-11,9.4,2.839999999999999,2.5390229873592602
46032,2005-01-12,7.4,2.5599999999999983,2.5390854663412625
46033,2005-01-13,13.7,2.5999999999999988,2.539147945323272
46034,2005-01-14,7.6,2.3999999999999986,2.5392104243052813
46035,2005-01-15,8.7,2.1199999999999988,2.5392729032872836
46036,2005-01-16,3.9,1.9999999999999987,2.539335382269293
46037,2005-01-17,3.5,2.5199999999999987,2.5393978612513024
46038,2005-01-18,16.0,3.879999999999998,2.5394603402333047
46039,2005-01-19,12.9,5.219999999999999,2.539522819215314
46040,2005-01-20,24.9,6.059999999999998,2.5395852981973235
46041,2005-01-21,25.8,6.039999999999998,2.5396477771793258
46042,2005-01-22,14.1,5.859999999999998,2.539710256161335
46043,2005-01-23,8.7,4.579999999999998,2.5397727351433446
46044,2005-01-24,12.4,3.5799999999999983,2.539835214125347
46045,2005-01-25,6.6,3.0199999999999987,2.5398976931073562
46046,2005-01-26,9.2,2.8399999999999985,2.5399601720893656
46047,2005-01-27,6.3,2.4399999999999986,2.540022651071368
