,No/Low Rainfall (0-15mm),Moderate Rainfall (15-40mm),Heavy Rainfall (40mm+)
No/Low Rainfall (0-15mm),92393,48856,1392
Moderate Rainfall (15-40mm),42551,170220,11634
Heavy Rainfall (40mm+),790,12438,13108
