,No/Low Rainfall (0-15mm),Moderate Rainfall (15-40mm),Heavy Rainfall (40mm+)
No/Low Rainfall (0-15mm),99147,42280,1214
Moderate Rainfall (15-40mm),30035,189933,4437
Heavy Rainfall (40mm+),1421,14142,10773
