,rainfall
0,23.266666666666666
1,23.766666666666666
2,19.2
3,18.966666666666665
4,23.566666666666663
5,23.53333333333333
6,24.2
7,21.266666666666666
8,5.8
9,16.766666666666666
10,12.633333333333333
11,9.766666666666667
12,16.166666666666668
13,14.166666666666666
14,18.166666666666668
15,14.366666666666667
16,18.266666666666666
17,13.6
18,27.866666666666667
19,17.466666666666665
20,16.133333333333333
21,28.433333333333334
22,20.23333333333333
23,23.933333333333334
24,21.1
25,25.266666666666666
26,22.266666666666666
27,26.366666666666667
28,13.066666666666666
29,16.833333333333332
30,13.838709677419354
31,14.129032258064516
32,14.67741935483871
33,10.290322580645162
34,10.064516129032258
35,12.741935483870968
36,10.580645161290322
37,11.806451612903226
38,14.419354838709678
39,13.258064516129032
40,11.870967741935484
41,8.870967741935484
42,18.580645161290324
43,10.774193548387096
44,24.806451612903224
45,17.419354838709676
46,17.161290322580644
47,19.774193548387096
48,11.709677419354838
49,8.64516129032258
50,17.225806451612904
51,17.06451612903226
52,15.387096774193548
53,22.83870967741936
54,17.35483870967742
55,23.032258064516128
56,19.032258064516128
57,12.419354838709678
58,30.0
59,37.2258064516129
60,5.166666666666667
61,6.866666666666666
62,9.066666666666666
63,4.233333333333333
64,4.4
65,9.466666666666669
66,15.466666666666669
67,13.933333333333334
68,22.53333333333333
69,4.233333333333333
70,12.533333333333331
71,8.866666666666667
72,6.766666666666667
73,12.5
74,5.4
75,12.3
76,14.966666666666669
77,34.06666666666667
78,5.033333333333333
79,4.833333333333333
80,8.9
81,9.1
82,13.1
83,11.5
84,9.066666666666666
85,7.666666666666667
86,9.4
87,8.6
88,11.733333333333333
89,6.1
90,3.2580645161290325
91,1.3225806451612905
92,3.935483870967742
93,1.7741935483870968
94,3.3225806451612905
95,2.5806451612903225
96,4.967741935483871
97,3.096774193548387
98,8.161290322580646
99,6.290322580645161
100,7.483870967741935
101,1.5483870967741935
102,7.258064516129032
103,5.354838709677419
104,2.7419354838709675
105,6.967741935483871
106,7.483870967741935
107,1.7096774193548387
108,6.903225806451613
109,2.3225806451612905
110,14.580645161290322
111,4.967741935483871
112,11.225806451612904
113,7.129032258064516
114,13.161290322580646
115,8.709677419354838
116,6.67741935483871
117,6.709677419354839
118,10.129032258064516
119,19.193548387096776
