,correlation
350,5.6212915745653206e-05
351,2.6461849049259406e-05
352,1.711361926092028e-05
353,2.6020201820387488e-05
354,3.034590444196529e-05
355,3.7756374805676935e-05
356,1.448738100755356e-05
357,3.224125252004765e-05
358,2.173382362154926e-05
359,3.661681580809005e-05
360,4.389249225060915e-05
361,2.852784910268026e-05
362,2.4710433492456672e-06
364,4.424517105111463e-05
365,3.435754463195725e-05
366,2.619037610133244e-05
367,4.179567276514503e-05
368,3.120265824805367e-05
369,1.6173471550237906e-05
370,4.771567734034498e-05
371,4.12640145656232e-05
372,3.837714814174075e-05
373,3.372511877795039e-05
374,3.747535865947821e-05
375,4.151306897793064e-05
376,2.9328571408956567e-05
377,2.847308454172478e-05
378,3.908401035569529e-05
379,-2.4162323083927667e-05
380,-5.484909643274109e-06
381,4.704873321949248e-06
382,-1.6077417857394948e-05
383,-2.273874302275217e-05
384,-7.343672540206538e-06
385,-1.3307008043746424e-05
386,-3.2826680647275304e-05
387,2.18091739618252e-05
388,1.0524806276705372e-05
389,1.977822105443288e-05
390,1.8435250831761163e-05
391,-1.362015629983946e-05
392,-8.647623479341415e-05
393,1.462151552834146e-06
394,4.631853427152607e-05
395,2.3785737067432204e-05
396,6.057980668546741e-05
397,3.278434525960409e-05
398,3.294215086591201e-05
399,3.0928504611184136e-05
400,3.526480618328471e-05
401,3.227479029890691e-05
402,2.6450743050808805e-05
403,3.154848917331403e-05
404,3.429479716461599e-05
405,3.6721273945532094e-05
406,3.337453924906485e-05
407,3.376263309750894e-05
408,3.06802459079338e-05
409,3.580722837956344e-05
410,3.346539851817521e-05
411,3.352831606141658e-05
412,2.4181288694095337e-05
413,3.197161152076883e-05
414,3.0061030523379203e-05
415,2.3696423855462818e-05
416,3.4489059654643606e-05
417,3.077197965236962e-05
418,2.936640203507019e-05
419,2.8134843168314545e-05
420,3.273428909320091e-05
421,2.9714364458037823e-05
422,3.065446339560573e-05
423,1.0751959465741308e-05
424,2.9207146116502154e-05
425,2.3966974996436503e-05
426,3.456154762976047e-05
427,2.067185865540256e-05
428,1.886290640536628e-05
429,1.2482743767968413e-05
430,1.4930796147439253e-05
431,1.7275673055163194e-05
432,3.362735248934974e-05
433,-5.775006578630729e-06
434,3.42713251994712e-05
435,2.857343137657238e-05
436,1.210704365657136e-05
437,2.0571053451916436e-05
438,3.213788776728538e-05
439,1.4147563567705978e-05
440,1.531453424257954e-05
441,3.1866354520827e-05
442,8.58030835724256e-06
443,4.586594224695553e-06
444,-2.3070981030412407e-05
445,3.4255825827193274e-05
446,-6.913678157164342e-05
447,1.278055660812185e-06
448,4.732596081640644e-05
449,-8.345156031588264e-05
451,-7.025615785746305e-05
452,6.346777063863828e-05
453,3.4045097829407935e-05
455,-8.081045568745396e-05
456,1.258454409541409e-05
457,-1.6807997868277707e-06
458,7.317090034161874e-05
459,9.131762538840696e-05
460,1.035047879947809e-05
461,1.839815518536138e-05
462,1.509970397064508e-05
463,-4.010419120835114e-05
465,7.347276334480934e-05
466,3.620845328852795e-05
468,6.62544327968732e-05
469,6.27932874792903e-05
470,6.925197502946222e-05
471,2.9900306677093576e-05
472,8.942076908043633e-05
473,4.00796987344747e-05
474,3.766547897352952e-05
475,3.235269286493267e-05
476,1.9340755473641823e-05
477,5.287841292860986e-05
478,3.193930240464131e-05
479,2.5979083738015884e-05
480,3.526320478262635e-05
481,3.671429728352256e-05
482,1.701403065522144e-06
483,3.381578694893455e-05
484,2.6664525627620243e-05
485,3.658250007576639e-05
486,8.52614851037783e-06
487,2.8853387402495245e-05
488,4.019220328529491e-05
489,4.4737850734931126e-05
490,3.07367739041913e-05
491,3.912207429732137e-05
492,-4.400493840388453e-06
493,5.056282722135807e-05
494,3.4565702675491746e-05
495,3.1094800750517825e-05
496,2.2617654565947415e-05
497,2.3326214972584147e-05
498,3.737141274312725e-05
499,3.2619948436436654e-05
500,3.392884731366903e-05
501,4.776711486037097e-06
502,2.569700867699976e-05
503,1.756043121713248e-05
504,4.028870708533711e-05
505,1.9440131270156868e-05
506,2.3112200853497583e-05
507,-7.171018794414958e-06
508,2.354490153415216e-05
509,2.7219005068265555e-05
510,2.7395052631900023e-05
511,-2.4899438906815107e-06
512,3.5168444931418666e-05
513,1.7267265460680472e-05
515,-6.712611098623723e-05
516,2.768996614936817e-05
518,4.353273516760979e-05
520,-9.302800886511484e-05
523,-1.3095312699600933e-05
526,4.297212738110029e-05
534,2.977159121729383e-05
535,2.823069212693647e-05
536,2.944440658324353e-05
537,3.275781201162309e-05
538,2.6899663124396395e-05
539,2.936693369606371e-05
540,2.5473002919430222e-05
541,1.489996520569479e-05
542,2.906128632995997e-05
543,2.3855343520850425e-05
544,2.595048226063211e-05
545,2.0173465782047404e-05
546,3.4515771412839704e-05
547,2.8956036911368644e-05
548,3.105575130546449e-05
549,2.290577105872453e-05
550,1.8990280625143805e-05
551,3.5163040918331246e-05
552,2.3756526943186213e-05
553,1.8191924508641747e-05
554,1.753935534723329e-05
555,6.817724273073677e-06
556,2.4040517311577696e-05
557,2.704037801045485e-05
558,1.062607609106407e-05
559,9.86498991146492e-06
561,7.892839067999138e-06
563,2.671314555041521e-05
564,9.20938803173219e-05
565,1.2434911147202065e-05
566,1.1329372538797858e-05
567,-4.7539954165524505e-05
570,1.0388954956172374e-05
571,8.994396943094766e-06
572,1.1506676723029711e-05
573,2.0774574537136634e-05
575,1.8749927023042537e-05
579,3.687852043607162e-06
581,1.7828893036639605e-05
582,3.94018082531329e-05
583,-2.94487602432168e-05
586,3.075492537556857e-05
588,2.3704291336237892e-05
590,1.7186143320709407e-05
593,-1.645157850859123e-05
594,1.9288714997170427e-05
595,3.364959328163738e-05
596,-3.816506924989672e-07
597,2.1855733081565795e-05
598,1.8521094607779955e-05
600,3.469137523047299e-05
601,-8.436882109449471e-05
602,2.757308436284479e-05
604,-3.939482017497464e-05
605,3.55514262774942e-05
607,1.879515028811364e-05
608,3.580466927689074e-05
609,-7.11613261207293e-05
610,-4.491297159639444e-06
611,2.7148248743413408e-05
612,3.5008919960526995e-05
613,3.842726438464486e-05
615,-5.44284723723066e-05
618,-2.5997351371490675e-05
619,3.580559896958646e-05
620,2.560824373203573e-05
621,2.9934567800442648e-05
622,3.14383826786914e-05
623,1.9139271590014835e-05
624,2.213269954908645e-05
625,2.6646158538123312e-05
626,-3.18831411402197e-05
627,2.450175422426217e-05
629,2.9616398677671404e-05
630,-5.305861432153669e-05
632,-8.862868025024324e-05
633,2.887292398580035e-05
634,-2.627107291096709e-05
635,-5.476887527388602e-06
636,-9.071634334378905e-05
637,-2.999980279047364e-05
638,-4.245872317788457e-05
639,-3.306640032676162e-05
640,1.93875473471603e-05
641,2.080539755623749e-05
642,-5.356381568962655e-05
643,4.223571170093048e-05
644,2.1857362653374664e-05
645,9.21631860282697e-06
646,-7.78946079074405e-05
647,3.7807052989523846e-05
648,-1.6980505343659446e-05
649,2.6150323336390867e-05
650,-3.781637258080535e-05
652,2.0654928656337134e-05
653,-6.829589621585898e-06
654,-4.232195376610158e-05
655,5.959422043882279e-05
656,-5.910567735214372e-05
657,2.1997986264655936e-05
658,3.934685926119713e-05
659,-6.762192271626652e-05
660,1.6658566684508623e-05
662,2.705868166735549e-05
663,2.8206256230193934e-05
664,2.072151288151753e-05
665,2.4135714009699183e-05
666,4.363025102166191e-05
669,2.0414293039372825e-05
670,-5.823827091463975e-05
671,3.105542071718544e-05
672,-2.6799836952494623e-05
675,3.766758055855833e-05
677,3.0162730569823103e-05
679,-5.2926152571904784e-05
681,2.3204272440037788e-05
682,2.4864512974101457e-05
684,2.9498373629718006e-05
686,3.278730787084037e-05
687,1.85167945008199e-05
692,1.1827990614821455e-05
695,2.8166985128666147e-05
697,2.9537749676248497e-05
699,-5.157322177605912e-05
701,-2.6680613175167903e-05
702,2.430157590743774e-05
703,2.495968095047534e-05
708,2.331454337520604e-05
709,-8.511552345790411e-05
712,2.7867862350981933e-05
713,1.426652360065351e-05
717,2.195880806317122e-05
720,1.984680587354282e-06
721,3.153701824613021e-05
722,-7.484314621083225e-05
723,1.9765748494857784e-05
724,-7.358033377573943e-05
725,9.3723383805396e-06
729,1.757955116998828e-05
730,1.3540095544264324e-05
731,1.7903983424466726e-05
732,1.672875692225232e-05
733,2.30530784254138e-05
734,1.4683312634156203e-05
735,2.454234946733418e-05
736,2.3347734012677898e-05
737,3.568334165158749e-05
738,3.485092268597794e-05
739,4.736141798110573e-06
740,3.3461395764809315e-05
741,2.5649417397249096e-05
742,3.545076308862589e-05
743,1.6501276460618514e-05
744,2.6818288752569815e-05
745,-1.476917967761586e-05
746,7.257197063939188e-06
747,1.8223183101832106e-05
748,2.980249962173019e-05
749,7.000993181059965e-06
750,3.0637787901049734e-05
751,2.7002458106089863e-05
752,1.7004801354316484e-05
753,3.573360358186752e-05
754,3.489591762710635e-05
755,3.412678856079701e-05
756,3.0235130388619028e-05
757,1.0770948048774712e-05
758,1.1776621119823724e-05
759,1.136161943644222e-06
760,1.7501008999646664e-05
761,1.2738413498527444e-05
762,1.0117168389924932e-05
763,2.27658852325655e-05
764,2.2726728159870395e-05
765,2.732312312392242e-05
766,7.258043702210293e-06
767,3.930002064951222e-06
768,1.338419306402621e-07
769,3.684107140100319e-05
770,3.7422230369931744e-05
771,3.408562307865221e-05
772,3.3957715897029626e-05
773,3.893712147396108e-05
774,3.9357166192343886e-05
775,3.42428609979188e-05
776,3.788770202680924e-05
777,3.426728390923881e-05
778,2.8143088020227373e-05
779,2.5992974221709856e-05
780,2.9132127037197783e-05
781,3.3661908636054014e-05
782,2.8425745716677485e-05
783,3.674540706823914e-05
784,3.451107367949671e-05
785,3.758793201811996e-05
786,2.905372237921131e-05
787,4.02599719460444e-05
788,2.8975476810075838e-05
789,2.554017154280721e-05
790,2.9112453121619997e-05
792,3.133798136144924e-05
793,3.54624842943388e-05
794,2.9365015845756992e-05
795,1.84149384915705e-05
796,3.632809751158756e-05
797,2.3098192770998496e-05
798,5.573628105557899e-05
799,2.490356290103709e-05
800,2.84753281285733e-05
801,1.9098014037150056e-05
802,3.3367230819734265e-05
803,3.65337465504761e-05
804,2.7426024250517818e-05
806,3.0156713578802964e-05
807,3.668267304637495e-05
809,3.120325067351616e-05
810,3.0892638774532125e-05
811,2.7455691961644166e-05
812,1.9455366103770878e-05
813,2.9692698464381764e-05
815,2.460419629562348e-05
816,2.9387535838138293e-05
817,3.244924647481932e-05
818,1.2587682218104716e-05
819,3.0805247888159734e-05
820,2.55180938600242e-05
821,2.012408867314355e-05
822,6.9694320508321545e-06
824,-2.6454693318824143e-05
825,2.4889804438915503e-05
826,5.639277131979429e-06
827,-5.5214648183192514e-05
829,2.8139035098251297e-05
831,2.961837106586208e-05
832,2.8436517321470296e-05
833,2.6445077359442808e-05
834,3.0578910300905494e-05
835,2.5508274810637934e-05
836,-2.874929950005616e-05
837,-2.1951381545058765e-06
838,1.2651753581064596e-05
839,2.0797926420576653e-05
840,2.733782262846234e-05
841,1.9467777807784155e-05
842,2.8491364820100404e-05
843,1.234016327783711e-05
844,2.809386440458563e-05
845,-4.595291781960933e-06
846,2.6811088305818465e-06
849,3.694915885817473e-05
850,6.192297083540092e-05
851,1.96123076175774e-05
852,6.492645481375436e-06
853,-6.841935404411687e-05
855,3.358686639160568e-05
856,3.3216757062472115e-05
857,2.371473838157043e-05
858,3.1580208325603254e-05
859,-2.074449691652209e-05
860,6.198564458907992e-05
861,4.322821034819663e-05
862,1.9359287769130945e-05
863,2.7018031613574752e-05
864,3.1071255972378786e-05
865,1.569236521205465e-05
866,1.141676829482221e-05
867,1.557349972362955e-05
868,3.00298521319806e-05
869,2.805986553949012e-05
870,1.6260760594773365e-05
871,1.0505840819792043e-06
872,3.694272988301773e-05
873,1.8846497362245625e-05
874,3.4897591520865365e-05
875,8.925722383657585e-05
876,4.519876503853616e-05
877,2.3041814776524053e-05
879,2.8080265992435708e-05
880,2.8778731831006963e-05
881,2.0800465983436256e-05
882,-1.739642631908918e-05
883,8.203161965607829e-06
884,2.873745215745207e-05
885,5.067691673700815e-06
886,1.828899258351786e-05
887,3.61533021013537e-05
888,2.6880469790641224e-05
889,2.1011104907094838e-05
890,2.7945341600492685e-05
891,2.3841400849770444e-05
892,1.336494933883914e-05
893,2.4211763446083454e-05
894,3.247591397176066e-05
895,1.8129809003552556e-05
896,3.4062796162212526e-05
897,2.5108362273563928e-05
898,2.249139670168129e-05
899,2.530453800183629e-05
900,2.6613376273746987e-05
901,2.7674137410256103e-05
902,2.9930653150664365e-05
903,2.508824787473824e-05
904,2.3971619006391915e-05
905,2.1727295658561016e-05
906,2.352711077676481e-05
907,2.627895354007093e-05
908,2.1257273674593838e-05
909,2.5598605469366045e-05
910,2.119329481103832e-05
911,2.7682546160637705e-05
912,3.0597029628124205e-05
913,2.278852212279389e-05
914,2.9271505678412028e-05
915,1.5983004017714813e-05
916,2.6550042862691056e-05
917,1.887936827209012e-05
918,2.379258430037532e-05
919,2.966559666142518e-05
920,2.6127951299451572e-05
921,3.156833369028559e-05
922,2.22234317647251e-05
923,2.1446034527598944e-05
924,2.555940461202769e-05
925,2.942309877680464e-05
926,3.492754961057315e-05
927,1.3910229798978515e-05
928,4.215699662514451e-05
929,3.495910270572532e-05
930,3.831332210231637e-05
931,1.1334906379709609e-05
932,1.7567896050549307e-05
933,3.757497034314237e-05
934,2.971087923237197e-05
935,1.4676202186852904e-05
936,1.125388518760652e-05
937,9.575322001398033e-06
938,2.8889385251327527e-05
939,3.331655502076945e-05
940,4.127368728358564e-05
941,3.64786307237869e-05
942,3.277299696367412e-05
943,2.3649076070562488e-05
944,4.483792357755096e-05
945,2.1386874112871635e-05
946,2.721672933639676e-05
947,3.714605046400938e-05
948,3.9203217264894746e-05
949,2.6978425755734147e-05
950,3.020665797979148e-05
951,4.2139072430178464e-05
952,1.3912589147522903e-05
953,3.3975941847746284e-05
954,3.148930100385896e-05
955,3.28167708191382e-05
956,3.612284046501516e-05
957,2.7675716727443425e-05
958,3.510609245560778e-05
959,3.719102575370378e-05
960,3.236608495043649e-05
961,1.4340959970944862e-05
962,2.540276765110932e-05
963,2.9791059802790297e-05
964,1.99746769910328e-05
965,3.566726718648337e-05
966,1.663991150793584e-05
967,3.94571773113602e-05
968,4.813229795724098e-05
969,4.5696647826858046e-05
970,3.336423289928263e-05
971,3.669643303904718e-05
972,4.35278679309578e-05
973,3.421198384242292e-05
974,2.947036282769017e-05
975,3.3363745236475434e-05
976,2.5104962256549692e-05
977,3.616840000665095e-05
978,3.076847229470001e-05
979,8.959260662463542e-05
980,1.883360095617418e-05
981,5.962025830029205e-05
982,8.195678974267094e-05
983,5.257440126210959e-05
984,9.340837934231929e-05
986,9.566993958561392e-05
987,4.667640231628919e-05
988,2.603580787972344e-05
989,4.195333516525368e-05
990,5.1989896962550654e-05
991,5.043650389115449e-05
992,3.981619314552153e-05
993,4.264814139094411e-05
994,3.840082336311126e-05
995,2.2361983624896352e-05
997,2.6675964846172905e-05
998,4.958013633032631e-05
1000,7.494669597145672e-05
1001,1.1814112491282312e-05
1002,3.8686609444906105e-06
1003,1.814456292000392e-05
1004,1.760005808228702e-05
1005,1.0594447027294114e-05
1006,1.2608777810574824e-05
1007,1.6900661646406125e-05
1008,2.032139002553921e-05
1009,-7.54303823337929e-05
1010,-9.296006764919792e-05
1011,1.8973139624536064e-05
1012,-1.0072020064555057e-05
1013,4.368548378330275e-05
1014,4.0936631109042e-05
1015,-2.9591444970864895e-05
1016,1.197446972733786e-05
1017,1.843120757163375e-05
1018,-3.0288386127475848e-05
1019,1.4190430368772152e-06
1020,4.938832678370211e-05
1021,3.076744458359495e-05
1022,-6.991366268558473e-05
1023,4.734459608350163e-05
1024,4.7183259906109e-05
1025,5.3619533156749526e-05
1026,3.415063964753184e-05
1027,4.5527240905871714e-05
1028,4.9582295686724746e-05
1029,4.43504313780722e-05
1030,4.37592525453122e-05
1031,2.43531433965616e-05
1032,2.7781611949330965e-05
1033,2.7239828125562053e-05
1034,2.8926270776419326e-05
1035,2.661662554872251e-06
1036,2.3705655338305585e-05
1037,5.2185967441915365e-05
1038,8.223166361927904e-05
1039,2.231008124786122e-05
1040,4.328467227463248e-05
1041,3.73386020201728e-05
1042,2.7168263526356903e-05
1043,2.5679817073051104e-05
1044,4.3274356619772e-05
1045,3.780981847578899e-05
1046,2.587436570739588e-05
1047,4.082794006204349e-05
1048,2.3963179366835008e-05
1049,1.936279316070565e-05
1050,3.105014925897737e-05
1051,3.924175966488263e-05
1052,3.7214967335889335e-05
1053,4.132489348283343e-05
1054,2.054487424125889e-05
1055,2.9403267658167436e-05
1056,2.2548872511263324e-05
1057,2.2490283758294863e-05
1058,2.556661657759654e-05
1059,2.0609599657257605e-05
1060,4.578195717279997e-05
1061,3.882561503165794e-05
1063,2.541556123889094e-05
1065,1.7843383533643882e-05
1066,-4.4040662993484106e-05
1067,3.6528079722419137e-05
1068,4.293696865963308e-05
1069,3.5285112245880544e-05
1070,3.302173592097942e-05
1071,3.019995164233408e-05
1072,3.5727541696931755e-05
1073,3.0025011531420812e-05
1074,2.823069212693647e-05
1075,2.823069212693647e-05
1076,3.07367739041913e-05
1077,2.9513308483319503e-05
1078,3.2898251574124565e-05
1079,1.3268969980760217e-05
1080,1.3268969980760217e-05
1082,3.726767400673853e-05
1083,2.6957008242266112e-05
1084,3.5848959515063445e-05
1085,3.001447002222281e-05
1086,2.4779201083104064e-05
1087,2.474194714837115e-05
1088,2.82642772554011e-05
1089,3.860066864366379e-05
1090,2.521349193940314e-05
1091,-8.470531561207166e-05
1092,3.484947936506246e-05
1093,3.6583490380800527e-05
1094,7.557440537764377e-05
1095,7.799857294660822e-05
1098,1.0646204109308124e-05
1099,-5.182146399797694e-06
1100,-5.182146399797694e-06
1102,2.3317608860274736e-05
1103,-4.557874246168216e-05
1104,3.783718149424841e-05
1105,2.1594236929556964e-05
1106,2.1364195182945284e-05
1107,1.084857806758854e-05
1109,2.518346979639614e-05
1110,-6.603880980734262e-05
1113,-5.282360186631394e-05
1114,-2.8423057468502507e-05
1115,2.1461046608706617e-05
1116,3.17696624405319e-05
1117,2.9141390543515046e-05
1118,-1.783617725915888e-05
1119,2.634359658584412e-05
1120,3.22452586892031e-05
1121,-4.608210687903166e-07
1122,2.9659738078350386e-05
1123,2.8330095710766594e-05
1124,-4.663031946937643e-05
1126,3.232793196472348e-05
