,DATE,Maximum Temperature,Minimum Temperature,Moving Average Temperature,Temperature Linear Model
38771,1985-02-25,10.3,-1.6,2.06,9.309585188103938
38772,1985-02-26,10.8,-0.1,2.92,9.309698647820852
38773,1985-02-27,5.6,0.4,3.96,9.309812107537766
38774,1985-02-28,6.7,-0.2,3.8599999999999994,9.30992556725468
38775,1985-03-01,13.4,2.7,3.88,9.310039026971594
38776,1985-03-02,7.0,1.1,4.0600000000000005,9.310152486688494
38777,1985-03-03,6.9,1.0,3.6399999999999997,9.310265946405408
38778,1985-03-04,6.5,-0.6,2.88,9.310379406122323
38779,1985-03-05,3.2,0.9,2.88,9.310492865839237
38780,1985-03-06,4.5,1.3,2.7,9.310606325556137
38781,1985-03-07,4.2,2.0,2.84,9.31071978527305
38782,1985-03-08,3.0,1.0,2.54,9.310833244989965
38783,1985-03-09,5.2,1.3,1.7,9.310946704706879
38784,1985-03-10,3.8,-0.5,1.34,9.311060164423793
38785,1985-03-11,2.0,-3.0,1.22,9.311173624140693
38786,1985-03-12,3.1,-1.0,1.1600000000000001,9.311287083857607
38787,1985-03-13,2.6,0.6,1.16,9.311400543574521
38788,1985-03-14,4.7,1.2,1.48,9.311514003291435
38789,1985-03-15,3.9,-0.4,1.08,9.311627463008335
38790,1985-03-16,7.9,-2.8,0.27999999999999997,9.31174092272525
38791,1985-03-17,0.7,-1.7,-0.68,9.311854382442164
38792,1985-03-18,-0.9,-2.7,-0.68,9.311967842159078
38793,1985-03-19,0.0,-3.5,-0.44000000000000006,9.312081301875992
38794,1985-03-20,5.1,-5.2,0.48,9.312194761592892
38795,1985-03-21,8.0,-4.6,1.8399999999999999,9.312308221309806
38796,1985-03-22,10.0,-1.8,3.28,9.31242168102672
38797,1985-03-23,8.8,-0.1,4.76,9.312535140743634
38798,1985-03-24,11.6,1.5,6.18,9.312648600460534
38799,1985-03-25,14.2,2.2,6.56,9.312762060177448
38800,1985-03-26,15.3,3.4,5.74,9.312875519894362
38801,1985-03-27,10.4,3.0,5.7,9.312988979611276
38802,1985-03-28,5.9,-0.6,6.4,9.31310243932819
38803,1985-03-29,7.6,-0.5,6.6800000000000015,9.31321589904509
38804,1985-03-30,15.4,3.8,7.779999999999999,9.313329358762005
38805,1985-03-31,17.2,8.2,10.22,9.313442818478919
38806,1985-04-01,17.0,5.3,12.26,9.313556278195833
38808,1985-04-03,18.4,6.1,13.2,9.313783197629647
38809,1985-04-04,23.7,4.9,13.180000000000001,9.313896657346561
38810,1985-04-05,22.7,8.7,13.4,9.314010117063475
38811,1985-04-06,17.0,6.6,12.52,9.31412357678039
38812,1985-04-07,17.6,7.2,11.040000000000001,9.314237036497289
38813,1985-04-08,12.5,7.3,9.18,9.314350496214203
38814,1985-04-09,10.3,4.7,8.92,9.314463955931117
38815,1985-04-10,9.0,6.0,7.5200000000000005,9.314577415648031
38816,1985-04-11,12.8,4.2,7.2,9.314690875364946
38817,1985-04-12,9.6,3.4,6.9799999999999995,9.314804335081845
38818,1985-04-13,12.0,3.4,6.34,9.31491779479876
38819,1985-04-14,11.2,3.7,5.7,9.315031254515674
38820,1985-04-15,8.0,2.7,5.88,9.315144714232588
38821,1985-04-16,9.0,2.7,6.06,9.315258173949488
38822,1985-04-17,8.9,2.6,6.76,9.315371633666402
38823,1985-04-18,11.5,2.7,8.959999999999999,9.315485093383316
38824,1985-04-19,14.8,3.8,11.0,9.31559855310023
38825,1985-04-20,20.6,3.2,12.680000000000001,9.315712012817144
38826,1985-04-21,21.8,7.6,13.3,9.315825472534044
38827,1985-04-22,20.5,6.3,11.72,9.315938932250958
38828,1985-04-23,15.0,8.5,10.319999999999999,9.316052391967872
38829,1985-04-24,8.5,0.3,7.6,9.316165851684787
38830,1985-04-25,13.5,-0.7,6.22,9.316279311401686
38831,1985-04-26,7.8,0.6,4.46,9.3163927711186
38832,1985-04-27,11.2,1.0,4.5200000000000005,9.316506230835515
38833,1985-04-28,9.0,-0.8,4.279999999999999,9.316619690552429
38834,1985-04-29,5.6,0.3,5.639999999999999,9.316733150269343
38835,1985-04-30,7.4,2.2,4.82,9.316846609986243
38836,1985-05-01,12.1,6.5,5.4799999999999995,9.316960069703157
38837,1985-05-02,10.0,0.7,6.640000000000001,9.317073529420071
38838,1985-05-03,8.1,2.0,7.840000000000001,9.317186989136985
38839,1985-05-04,13.0,-0.2,8.879999999999999,9.317300448853885
38840,1985-05-05,16.4,7.5,11.22,9.3174139085708
38841,1985-05-06,20.8,6.3,11.82,9.317527368287713
38842,1985-05-07,20.5,12.6,11.8,9.317640828004627
38843,1985-05-08,13.4,5.9,11.9,9.317754287721542
38844,1985-05-09,11.3,7.4,12.14,9.317867747438441
38845,1985-05-10,16.4,7.4,12.579999999999998,9.317981207155356
38846,1985-05-11,21.4,8.0,15.14,9.31809466687227
38847,1985-05-12,24.6,10.9,17.22,9.318208126589184
38848,1985-05-13,27.2,12.4,17.68,9.318321586306084
38849,1985-05-14,22.9,14.3,17.880000000000003,9.318435046022998
38850,1985-05-15,19.2,12.7,18.119999999999997,9.318548505739912
38851,1985-05-16,21.3,10.1,16.919999999999998,9.318661965456826
38852,1985-05-17,22.6,14.1,16.3,9.31877542517374
38853,1985-05-18,20.9,12.6,16.52,9.31888888489064
38854,1985-05-19,19.7,11.8,15.76,9.319002344607554
38855,1985-05-20,18.9,12.2,14.02,9.319115804324468
38856,1985-05-21,16.2,11.9,13.459999999999999,9.319229264041383
38857,1985-05-22,14.0,9.0,13.580000000000002,9.319342723758282
38858,1985-05-23,17.0,7.0,14.3,9.319456183475197
38859,1985-05-24,21.5,6.7,15.9,9.31956964319211
38860,1985-05-25,24.3,10.7,18.14,9.319683102909025
38861,1985-05-26,26.2,13.0,18.98,9.319796562625939
38862,1985-05-27,27.9,14.8,18.740000000000002,9.319910022342839
38863,1985-05-28,23.0,13.8,17.9,9.320023482059753
38864,1985-05-29,19.0,12.7,17.18,9.320136941776667
38865,1985-05-30,18.8,13.0,16.560000000000002,9.320250401493581
38866,1985-05-31,23.4,11.5,16.2,9.320363861210481
38867,1985-06-01,22.9,12.6,16.660000000000004,9.320477320927395
38868,1985-06-02,17.7,11.7,17.82,9.32059078064431
38869,1985-06-03,22.3,11.4,18.560000000000002,9.320704240361223
38870,1985-06-04,26.2,12.7,19.04,9.320817700078138
38871,1985-06-05,27.2,17.2,19.32,9.320931159795038
38872,1985-06-06,27.5,16.2,17.54,9.321044619511952
38873,1985-06-07,18.6,14.8,15.680000000000001,9.321158079228866
38874,1985-06-08,14.8,7.4,13.819999999999999,9.32127153894578
38875,1985-06-09,14.5,6.4,11.84,9.32138499866268
38876,1985-06-10,17.1,8.1,11.64,9.321498458379594
38877,1985-06-11,14.0,7.5,12.620000000000001,9.321611918096508
38878,1985-06-12,18.3,8.9,13.8,9.321725377813422
38879,1985-06-13,17.8,10.6,13.819999999999999,9.321838837530336
38880,1985-06-14,22.6,8.0,14.459999999999999,9.321952297247236
38881,1985-06-15,18.5,9.3,14.0,9.32206575696415
38882,1985-06-16,17.4,7.9,13.780000000000001,9.322179216681064
38883,1985-06-17,15.1,10.1,13.540000000000001,9.322292676397979
38884,1985-06-18,16.5,9.9,13.34,9.322406136114878
38885,1985-06-19,21.0,7.4,13.559999999999999,9.322519595831793
38886,1985-06-20,17.2,10.4,13.64,9.322633055548707
38887,1985-06-21,19.0,10.2,13.720000000000002,9.32274651526562
38888,1985-06-22,17.0,11.2,13.02,9.322859974982535
38889,1985-06-23,17.0,10.1,13.8,9.322973434699435
38890,1985-06-24,16.9,10.5,13.84,9.323086894416349
38891,1985-06-25,18.1,10.6,13.84,9.323200354133263
38892,1985-06-26,19.9,11.7,14.059999999999999,9.323313813850177
38893,1985-06-27,16.5,10.9,15.040000000000001,9.323427273567077
38894,1985-06-28,18.0,10.0,16.160000000000004,9.323540733283991
38895,1985-06-29,22.5,11.7,16.64,9.323654193000905
38896,1985-06-30,25.4,12.6,17.339999999999996,9.32376765271782
38897,1985-07-01,22.2,14.4,18.22,9.323881112434734
38898,1985-07-02,20.0,13.0,18.52,9.323994572151634
38899,1985-07-03,22.6,11.1,18.240000000000002,9.324108031868548
38900,1985-07-04,24.5,12.4,18.419999999999998,9.324221491585462
38901,1985-07-05,24.9,14.0,18.82,9.324334951302376
38902,1985-07-06,23.5,16.3,18.66,9.324448411019276
38903,1985-07-07,22.4,15.3,18.240000000000002,9.32456187073619
38904,1985-07-08,22.5,12.4,17.84,9.324675330453104
38905,1985-07-09,22.0,13.7,17.84,9.324788790170018
38906,1985-07-10,20.5,13.0,18.2,9.324902249886932
38907,1985-07-11,21.9,11.9,19.1,9.325015709603832
38908,1985-07-12,25.4,12.6,20.66,9.325129169320746
38909,1985-07-13,27.1,15.0,21.34,9.32524262903766
38910,1985-07-14,31.4,15.4,21.880000000000003,9.325356088754575
38911,1985-07-15,25.8,19.0,21.96,9.325469548471474
38912,1985-07-16,26.8,16.5,22.139999999999997,9.325583008188389
38913,1985-07-17,24.3,16.9,21.720000000000002,9.325696467905303
38914,1985-07-18,28.7,14.5,21.34,9.325809927622217
38915,1985-07-19,26.5,18.0,20.16,9.325923387339131
38916,1985-07-20,25.0,16.0,19.96,9.32603684705603
38917,1985-07-21,17.5,12.5,19.700000000000003,9.326150306772945
38918,1985-07-22,24.2,12.6,19.44,9.326263766489859
38919,1985-07-23,26.6,16.9,20.46,9.326377226206773
38920,1985-07-24,26.5,17.1,22.62,9.326490685923673
38921,1985-07-25,29.0,16.0,23.18,9.326604145640587
38922,1985-07-26,32.4,17.6,23.9,9.326717605357501
38923,1985-07-27,25.9,20.1,23.52,9.326831065074416
38924,1985-07-28,30.8,17.8,22.06,9.32694452479133
38925,1985-07-29,31.1,16.5,20.24,9.32705798450823
38926,1985-07-30,21.3,13.7,19.28,9.327171444225144
38927,1985-07-31,20.6,12.6,17.72,9.327284903942058
38928,1985-08-01,23.2,13.9,17.94,9.327398363658972
38929,1985-08-02,21.4,13.9,18.220000000000002,9.327511823375872
38930,1985-08-03,26.2,13.0,19.520000000000003,9.327625283092786
38931,1985-08-04,21.0,14.2,18.240000000000002,9.3277387428097
38932,1985-08-05,30.9,14.8,17.14,9.327852202526614
38933,1985-08-06,22.8,10.1,16.1,9.327965662243528
38934,1985-08-07,16.6,10.1,16.32,9.328079121960428
38935,1985-08-08,18.0,10.8,15.059999999999999,9.328192581677342
38936,1985-08-09,24.2,12.6,16.619999999999997,9.328306041394256
38937,1985-08-10,27.2,12.8,18.8,9.32841950111117
38938,1985-08-11,24.2,13.0,20.54,9.32853296082807
38939,1985-08-12,29.2,16.4,21.7,9.328646420544985
38940,1985-08-13,29.5,17.1,23.3,9.328759880261899
38941,1985-08-14,32.0,17.3,23.380000000000003,9.328873339978813
38942,1985-08-15,30.3,19.7,21.78,9.328986799695727
38943,1985-08-16,27.8,16.5,20.040000000000003,9.329100259412627
38944,1985-08-17,16.7,13.6,19.16,9.329213719129541
38945,1985-08-18,19.6,10.5,17.759999999999998,9.329327178846455
38946,1985-08-19,25.5,12.4,17.880000000000003,9.32944063856337
38947,1985-08-20,21.8,16.2,19.580000000000002,9.329554098280283
38948,1985-08-21,26.2,12.4,20.779999999999998,9.329667557997183
38949,1985-08-22,29.5,14.1,21.259999999999998,9.329781017714097
38950,1985-08-23,25.1,18.6,20.419999999999998,9.329894477431012
38951,1985-08-24,28.9,15.9,18.46,9.330007937147926
38952,1985-08-25,23.0,12.8,16.240000000000002,9.330121396864826
38953,1985-08-26,12.8,9.6,14.6,9.33023485658174
38954,1985-08-27,15.4,9.5,13.080000000000002,9.330348316298654
38955,1985-08-28,17.9,8.5,13.919999999999998,9.330461776015568
38956,1985-08-29,19.9,7.6,15.62,9.330575235732482
38957,1985-08-30,22.6,11.0,16.8,9.330688695449382
38958,1985-08-31,25.8,10.7,17.619999999999997,9.330802155166296
38959,1985-09-01,21.7,15.9,17.740000000000002,9.33091561488321
38960,1985-09-02,22.3,13.8,17.0,9.331029074600124
38961,1985-09-03,23.8,12.2,16.339999999999996,9.331142534317024
38962,1985-09-04,18.0,11.5,15.12,9.331255994033938
38963,1985-09-05,20.0,11.3,13.7,9.331369453750852
38964,1985-09-06,16.4,10.6,12.8,9.331482913467767
38965,1985-09-07,14.5,7.1,11.879999999999999,9.33159637318468
38966,1985-09-08,16.5,8.9,10.879999999999999,9.33170983290158
38967,1985-09-09,13.0,8.2,11.24,9.331823292618495
38968,1985-09-10,16.1,4.4,12.34,9.331936752335409
38969,1985-09-11,21.3,6.4,13.34,9.332050212052323
38970,1985-09-12,21.0,9.0,14.560000000000002,9.332163671769223
38971,1985-09-13,22.2,8.9,14.959999999999999,9.332277131486137
38972,1985-09-14,20.5,11.4,14.64,9.332390591203051
38973,1985-09-15,18.0,10.6,14.88,9.332504050919965
38974,1985-09-16,15.9,9.9,15.34,9.33261751063688
38975,1985-09-17,20.9,10.1,16.02,9.33273097035378
38976,1985-09-18,23.1,13.8,17.42,9.332844430070693
38977,1985-09-19,27.1,13.0,18.860000000000003,9.332957889787608
38978,1985-09-20,26.2,14.5,19.44,9.333071349504522
38979,1985-09-21,25.7,15.0,19.880000000000003,9.333184809221422
38980,1985-09-22,26.7,15.9,19.900000000000002,9.333298268938336
38981,1985-09-23,25.6,15.2,19.66,9.33341172865525
38982,1985-09-24,23.7,14.6,19.04,9.333525188372164
38983,1985-09-25,22.8,14.7,18.28,9.333638648089078
38984,1985-09-26,21.3,12.0,17.52,9.333752107805978
38985,1985-09-27,21.0,10.3,16.8,9.333865567522892
38986,1985-09-28,22.6,10.8,16.1,9.333979027239806
38987,1985-09-29,20.8,10.3,16.28,9.33409248695672
38988,1985-09-30,21.5,8.7,16.72,9.33420594667362
38989,1985-10-01,24.3,9.2,17.119999999999997,9.334319406390534
38990,1985-10-02,23.6,14.0,17.78,9.334432866107448
38991,1985-10-03,26.2,12.7,18.380000000000003,9.334546325824363
38992,1985-10-04,25.6,12.7,18.02,9.334659785541277
38993,1985-10-05,24.0,13.0,17.3,9.334773245258177
38994,1985-10-06,17.3,12.6,15.86,9.33488670497509
38995,1985-10-07,20.1,12.6,14.3,9.335000164692005
38996,1985-10-08,16.5,11.2,13.180000000000001,9.335113624408919
38997,1985-10-09,15.3,9.4,12.540000000000001,9.335227084125819
38998,1985-10-10,14.2,10.2,11.86,9.335340543842733
38999,1985-10-11,17.9,6.2,11.080000000000002,9.335454003559647
39000,1985-10-12,15.7,9.7,10.5,9.335567463276561
39001,1985-10-13,12.4,4.1,9.52,9.335680922993475
39002,1985-10-14,9.7,4.4,8.34,9.335794382710375
39005,1985-10-17,12.1,1.8,7.580000000000001,9.336134761861118
39006,1985-10-18,10.4,2.6,7.4,9.336248221578018
39007,1985-10-19,9.4,6.5,6.76,9.336361681294932
39008,1985-10-20,11.2,5.3,5.96,9.336475141011846
39009,1985-10-21,10.2,2.0,5.9,9.33658860072876
39010,1985-10-22,4.3,1.9,5.380000000000001,9.336702060445674
39011,1985-10-23,9.6,3.8,4.86,9.336815520162574
39012,1985-10-24,9.5,1.2,4.8,9.336928979879488
39013,1985-10-25,10.9,-0.8,5.0,9.337042439596402
39014,1985-10-26,11.8,-0.8,4.1,9.337155899313316
39015,1985-10-27,11.2,-0.4,3.04,9.337269359030216
39016,1985-10-28,5.5,-1.2,2.4,9.33738281874713
39017,1985-10-29,1.0,-0.5,2.6399999999999997,9.337496278464045
39018,1985-10-30,1.9,-1.0,2.92,9.337609738180959
39019,1985-10-31,9.4,1.2,3.9200000000000004,9.337723197897873
39020,1985-11-01,8.4,3.7,4.4399999999999995,9.337836657614773
39021,1985-11-02,8.7,3.6,4.84,9.337950117331687
39022,1985-11-03,7.1,1.5,5.959999999999999,9.338063577048601
39023,1985-11-04,8.6,-1.5,5.680000000000001,9.338177036765515
39024,1985-11-05,16.2,1.4,5.659999999999999,9.338290496482415
39025,1985-11-06,12.0,1.2,6.5200000000000005,9.338403956199329
39026,1985-11-07,8.4,2.2,8.28,9.338517415916243
39027,1985-11-08,8.3,3.5,7.6,9.338630875633157
39028,1985-11-09,18.0,8.3,6.959999999999999,9.338744335350071
39029,1985-11-10,14.8,5.4,5.8999999999999995,9.338857795066971
39030,1985-11-11,5.5,0.1,4.34,9.338971254783885
39031,1985-11-12,4.2,-1.8,1.7399999999999998,9.3390847145008
39032,1985-11-13,1.2,-1.4,-0.5,9.339198174217714
39033,1985-11-14,0.2,-2.2,-1.6,9.339311633934614
39034,1985-11-15,2.7,-5.7,-2.46,9.339425093651528
39035,1985-11-16,-3.8,-5.6,-3.22,9.339538553368442
39036,1985-11-17,-2.2,-3.8,-3.66,9.339652013085356
39037,1985-11-18,-2.9,-7.1,-3.22,9.33976547280227
39038,1985-11-19,-2.7,-5.0,-2.88,9.33987893251917
39039,1985-11-20,0.2,-2.8,-2.72,9.339992392236084
39040,1985-11-21,0.5,-3.4,-2.2800000000000002,9.340105851952998
39041,1985-11-22,-1.0,-3.5,-2.12,9.340219311669912
39042,1985-11-23,-2.0,-3.9,-2.3600000000000003,9.340332771386812
39043,1985-11-24,-1.2,-3.6,-2.2800000000000002,9.340446231103726
39044,1985-11-25,-1.4,-3.5,-2.6399999999999997,9.34055969082064
39045,1985-11-26,-1.6,-2.6,-2.2800000000000002,9.340673150537555
39046,1985-11-27,-0.9,-6.0,-2.1599999999999997,9.340786610254469
39047,1985-11-28,2.0,-7.4,-0.9800000000000002,9.340900069971369
39048,1985-11-29,-0.2,-6.2,0.45999999999999996,9.341013529688283
39049,1985-11-30,5.4,-0.5,2.42,9.341126989405197
39050,1985-12-01,9.8,3.2,4.1,9.341240449122111
39051,1985-12-02,12.6,1.2,6.220000000000001,9.341353908839011
39052,1985-12-03,16.3,2.0,7.040000000000001,9.341467368555925
39053,1985-12-04,16.6,5.5,7.720000000000001,9.34158082827284
39054,1985-12-05,16.0,3.4,8.1,9.341694287989753
39055,1985-12-06,10.6,4.0,7.6,9.341807747706667
39056,1985-12-07,9.8,2.1,6.859999999999999,9.341921207423567
39057,1985-12-08,11.2,3.4,5.68,9.342034667140481
39058,1985-12-09,8.9,1.0,4.2,9.342148126857396
39059,1985-12-10,5.4,1.3,2.88,9.34226158657431
39060,1985-12-11,1.5,-0.7,1.9400000000000002,9.34237504629121
39061,1985-12-12,1.5,0.6,1.94,9.342488506008124
39062,1985-12-13,1.6,-0.1,3.06,9.342601965725038
39063,1985-12-14,6.2,-0.3,4.4799999999999995,9.342715425441952
39064,1985-12-15,8.8,6.1,5.359999999999999,9.342828885158866
39065,1985-12-16,9.8,6.5,6.44,9.342942344875766
39066,1985-12-17,8.8,4.5,6.34,9.34305580459268
39067,1985-12-18,6.6,4.0,5.76,9.343169264309594
39068,1985-12-19,6.6,3.4,5.319999999999999,9.343282724026508
39069,1985-12-20,5.2,3.3,5.0200000000000005,9.343396183743408
39070,1985-12-21,13.0,2.8,4.54,9.343509643460322
39071,1985-12-22,12.1,-2.0,3.44,9.343623103177237
39072,1985-12-23,8.6,-0.3,2.9200000000000004,9.34373656289415
39073,1985-12-24,3.1,-2.3,3.0200000000000005,9.343850022611065
39074,1985-12-25,4.9,-3.2,3.3,9.343963482327965
39075,1985-12-26,9.4,2.5,3.3200000000000003,9.344076942044879
39076,1985-12-27,7.9,4.0,3.400000000000001,9.344190401761793
39077,1985-12-28,5.3,2.8,2.0799999999999996,9.344303861478707
39078,1985-12-29,5.0,-3.4,-0.11999999999999993,9.344417321195621
39079,1985-12-30,-1.9,-6.5,-2.2,9.344530780912521
39080,1985-12-31,-3.7,-5.2,-2.7399999999999998,9.344644240629435
39081,1986-01-01,-2.5,-6.3,-2.12,9.34475770034635
39082,1986-01-02,3.8,-7.0,-1.4,9.344871160063263
39083,1986-01-03,7.6,0.5,-0.8399999999999999,9.344984619780163
39084,1986-01-04,3.5,-2.3,0.32000000000000006,9.345098079497077
39085,1986-01-05,1.8,-6.8,-0.05999999999999996,9.345211539213992
39086,1986-01-06,2.2,-1.7,-1.3599999999999999,9.345324998930906
39087,1986-01-07,1.8,-3.3,-1.72,9.34543845864782
39088,1986-01-08,-2.8,-4.5,-1.44,9.34555191836472
39089,1986-01-09,-1.5,-4.2,-1.04,9.345665378081634
39090,1986-01-10,0.6,-2.8,-0.47999999999999987,9.345778837798548
39091,1986-01-11,5.0,0.6,0.9799999999999999,9.345892297515462
39092,1986-01-12,2.5,0.9,2.82,9.346005757232362
39093,1986-01-13,4.3,1.0,3.4799999999999995,9.346119216949276
39094,1986-01-14,9.6,4.3,2.8,9.34623267666619
39095,1986-01-15,5.4,1.2,1.9600000000000002,9.346346136383104
39096,1986-01-16,2.6,-1.6,1.5599999999999998,9.346459596100019
39097,1986-01-17,-0.7,-3.2,2.0599999999999996,9.346573055816918
39098,1986-01-18,4.5,-7.0,2.1599999999999997,9.346686515533833
39099,1986-01-19,10.6,3.8,2.7399999999999993,9.346799975250747
39100,1986-01-20,11.0,2.2,3.8,9.34691343496766
39101,1986-01-21,6.4,-1.7,4.7,9.34702689468456
39102,1986-01-22,6.0,0.2,3.08,9.347140354401475
39103,1986-01-23,9.6,0.8,2.12,9.347253814118389
39104,1986-01-24,5.8,-0.8,1.0800000000000003,9.347367273835303
39105,1986-01-25,-0.4,-2.4,-0.6399999999999998,9.347480733552217
39106,1986-01-26,-0.9,-4.1,-2.1599999999999997,9.347594193269117
39107,1986-01-27,-1.3,-7.9,-2.5599999999999996,9.347707652986031
39108,1986-01-28,3.1,-8.9,-1.8199999999999998,9.347821112702945
39109,1986-01-29,1.4,-5.7,-0.7,9.34793457241986
39110,1986-01-30,6.2,-0.7,1.08,9.34804803213676
39111,1986-01-31,4.5,1.0,1.34,9.348161491853674
39112,1986-02-01,9.0,0.8,1.5,9.348274951570588
39113,1986-02-02,1.4,-1.5,0.8400000000000001,9.348388411287502
39114,1986-02-03,1.0,-0.6,-0.039999999999999994,9.348501871004416
39115,1986-02-04,1.2,-2.1,-1.3199999999999998,9.348615330721316
39116,1986-02-05,0.5,-4.6,-2.4200000000000004,9.34872879043823
39117,1986-02-06,-0.6,-4.5,-4.3,9.348842250155144
39118,1986-02-07,-3.5,-6.4,-6.24,9.348955709872058
39119,1986-02-08,-5.9,-12.0,-8.16,9.349069169588958
39120,1986-02-09,-8.4,-11.8,-9.139999999999999,9.349182629305872
39121,1986-02-10,-10.2,-14.0,-9.1,9.349296089022786
39122,1986-02-11,-6.6,-10.8,-8.540000000000001,9.3494095487397
39123,1986-02-12,-4.2,-9.6,-7.720000000000001,9.349523008456615
39124,1986-02-13,-4.5,-8.1,-6.26,9.349636468173514
39125,1986-02-14,-4.8,-9.1,-5.220000000000001,9.349749927890429
39126,1986-02-15,-0.5,-10.7,-4.7,9.349863387607343
39127,1986-02-16,-0.4,-6.6,-3.6799999999999997,9.349976847324257
39128,1986-02-17,-1.1,-4.8,-3.08,9.350090307041157
39129,1986-02-18,1.5,-4.0,-3.3,9.35020376675807
39130,1986-02-19,-1.8,-4.7,-4.12,9.350317226474985
39131,1986-02-20,-2.8,-6.6,-5.139999999999999,9.350430686191899
39132,1986-02-21,-3.0,-8.7,-6.06,9.350544145908813
39133,1986-02-22,-4.2,-12.2,-6.6,9.350657605625713
39134,1986-02-23,-5.3,-8.7,-7.359999999999999,9.350771065342627
39135,1986-02-24,-4.2,-8.0,-8.059999999999999,9.350884525059541
39136,1986-02-25,-6.2,-12.8,-8.080000000000002,9.350997984776455
39137,1986-02-26,-7.6,-13.6,-8.319999999999999,9.351111444493355
39138,1986-02-27,-4.5,-13.7,-7.779999999999999,9.35122490421027
39139,1986-02-28,-5.5,-10.1,-6.380000000000001,9.351338363927184
39140,1986-03-01,-1.2,-7.7,-4.42,9.351451823644098
39141,1986-03-02,0.6,-5.4,-2.5,9.351565283361012
39142,1986-03-03,0.9,-3.0,0.21999999999999992,9.351678743077912
39143,1986-03-04,5.0,-0.5,2.32,9.351792202794826
39144,1986-03-05,10.7,0.4,3.3,9.35190566251174
39145,1986-03-06,11.0,1.7,3.66,9.352019122228654
39146,1986-03-07,7.1,1.8,3.88,9.352132581945554
